                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.26582,                0.84445,                  1.015,                0.96122,                      1,                  0.995,                  0.995,                0.19305,                0.47935,                0.38003,             0.00065109,             0.00065109,             0.00065109
                     91,                0.25521,                0.91121,                 1.0063,                0.86871,                      1,                  0.995,                  0.995,                0.17146,                0.55602,                0.39751,             0.00065038,             0.00065038,             0.00065038
                     92,                0.32414,                 1.0261,                 1.0546,                0.72642,                      1,                  0.995,                  0.995,                0.18276,                0.67521,                0.39251,             0.00064968,             0.00064968,             0.00064968
                     93,                0.24069,                0.76573,                0.97405,                0.72426,                      1,                  0.995,                  0.995,                0.20056,                0.70013,                0.39158,             0.00064897,             0.00064897,             0.00064897
                     94,                 0.2839,                0.86461,                 1.0037,                 0.7955,                      1,                  0.995,                  0.995,                0.20235,                0.65424,                0.37185,             0.00064826,             0.00064826,             0.00064826
                     95,                0.36658,                0.82056,                 1.0577,                0.88076,                      1,                  0.995,                  0.995,                0.19855,                0.61013,                0.35368,             0.00064756,             0.00064756,             0.00064756
                     96,                0.21643,                0.75361,                 0.9584,                0.91404,                      1,                  0.995,                  0.995,                0.19168,                0.65939,                0.33637,             0.00064685,             0.00064685,             0.00064685
                     97,                0.23918,                0.76063,                 1.0083,                0.93489,                      1,                  0.995,                0.96183,                0.21409,                0.79526,                0.33087,             0.00064614,             0.00064614,             0.00064614
                     98,                0.29368,                0.80435,                  1.033,                0.95324,                      1,                  0.995,                0.92867,                0.24875,                0.86526,                0.35354,             0.00064543,             0.00064543,             0.00064543
                     99,                0.32375,                0.84881,                 1.0671,                0.96295,                      1,                  0.995,                0.92867,                0.27082,                0.91176,                0.39675,             0.00064473,             0.00064473,             0.00064473
                    100,                0.25626,                0.75401,                 1.0142,                0.96519,                      1,                  0.995,                0.96183,                0.28417,                0.86507,                0.41921,             0.00064402,             0.00064402,             0.00064402
                    101,                 0.2145,                0.66042,                0.94316,                0.95883,                      1,                  0.995,                0.96183,                0.29542,                0.71291,                0.45202,             0.00064331,             0.00064331,             0.00064331
